text,label
How do I close my account permanently? It's urgent.,Other
I'm getting a server error while signing in. It's urgent.,Technical
Why was I charged twice this month? Please help.,Billing
Please help. The website is not loading properly.,Technical
Can I customize the notification sounds? Can someone look into this?,Other
Kindly check. How do I close my account permanently?,Other
What is this unexpected charge on my account? Kindly check.,Billing
I didn't authorize this transaction.,Billing
I was billed after cancelling my subscription.,Billing
I didn't authorize this transaction. Please help.,Billing
What is this unexpected charge on my account? Kindly check.,Billing
Kindly check. Can I get a breakdown of my last bill?,Billing
Where can I find the user manual?,Other
Can someone look into this? How do I change my billing address?,Billing
I'm getting a server error while signing in. Please help.,Technical
Please help. Do you offer student discounts?,Other
The invoice amount is higher than expected.,Billing
Can someone look into this? I was billed after cancelling my subscription.,Billing
Can I merge two accounts into one?,Other
Why isn't the camera working in the app?,Technical
Is there a dark mode for the app? It's urgent.,Other
Is there a dark mode for the app?,Other
Why was I charged twice this month?,Billing
Need assistance. The invoice amount is higher than expected.,Billing
Please help. My VPN stopped working today.,Technical
Can someone look into this? What is this unexpected charge on my account?,Billing
Kindly check. The app crashes when I open it.,Technical
Kindly check. Can I merge two accounts into one?,Other
Kindly check. I want to refer a friend — how does it work?,Other
Where can I find the user manual? Can someone look into this?,Other
My account keeps logging me out. It's urgent.,Technical
My VPN stopped working today.,Technical
It's urgent. The invoice amount is higher than expected.,Billing
Need assistance. I lost access to my admin dashboard.,Technical
Can someone look into this? What’s the difference between basic and premium plans?,Other
Can someone look into this? I'm unable to reset my password.,Technical
Can someone look into this? Where can I find the user manual?,Other
Please help. Why is my connection speed so slow?,Technical
Is there a dark mode for the app? Need assistance.,Other
Why is my connection speed so slow? Kindly check.,Technical
It's urgent. The website is not loading properly.,Technical
Please help. What’s the difference between basic and premium plans?,Other
Can I get a refund for my last invoice?,Billing
How do I close my account permanently? It's urgent.,Other
Kindly check. Why is my connection speed so slow?,Technical
Why was I charged twice this month? Can someone look into this?,Billing
Kindly check. My VPN stopped working today.,Technical
Need assistance. How do I close my account permanently?,Other
My billing statement looks incorrect. Kindly check.,Billing
Kindly check. I didn't authorize this transaction.,Billing
I want to refer a friend — how does it work?,Other
The app crashes when I open it.,Technical
Can I customize the notification sounds?,Other
I lost access to my admin dashboard. Please help.,Technical
Do you offer student discounts?,Other
Why is my connection speed so slow?,Technical
It's urgent. Where can I find the user manual?,Other
I can't install the latest update.,Technical
Please help. I was billed after cancelling my subscription.,Billing

